row_id;Programme Name;Qualification Type;NQF Level;NSC Pass Type Required;Min_English_%;Min_Mathematics_%;Min_MathsLiteracy_%;Min_TechnicalMaths_%;Other_Required_Subjects;Faculty;Campuses;Study Modes;Notes;
23;Higher Certificate in Information Systems (Data Analytics);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
24;Higher Certificate in Information Systems (Engineering);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
25;Higher Certificate in Information Systems (Game Design and Development);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
26;Higher Certificate in Information Systems (Machine Learning);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
27;Higher Certificate in Information Systems (Network Engineering);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
28;Higher Certificate in Information Systems (Robotics and Intelligent Systems);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
29;Higher Certificate in Information Systems (Software Development);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
30;Higher Certificate in Information Systems (Web Development);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
31;Bachelor of Arts (Communication Science and English);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
32;Bachelor of Arts (Industrial Psychology and English Literature Studies);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
33;Bachelor of Arts (Industrial Psychology and HR Management);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
34;Bachelor of Arts (Industrial Psychology and Linguistics);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
35;Bachelor of Arts (Industrial Psychology and Political Science);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
36;Bachelor of Arts (Law and Economics);Bachelor;7;Bachelor's pass;40;30;50;30;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. All three Maths types accepted. Students with Maths Lit 50%+ or Mathematics below 50% must complete bridging modules before Year 2.;
37;Bachelor of Arts (Law and Politics);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
38;Bachelor of Arts (Media Studies);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
39;Bachelor of Arts (Politics, Philosophy and Economics);Bachelor;7;Bachelor's pass;40;30;50;30;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. All three Maths types accepted. Students with Maths Lit 50%+ or Mathematics below 50% must complete bridging modules before Year 2.;
40;Bachelor of Arts (Psychology and English Literature Studies);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
41;Bachelor of Arts (Psychology and HR Management);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
42;Bachelor of Arts (Psychology and Linguistics);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
43;Bachelor of Arts (Psychology and Political Science);Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
44;Bachelor of Arts in Graphic Design;Bachelor;7;Bachelor's pass;40;;;;;Humanities;All Campuses;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
45;Bachelor of Business Administration;Bachelor;7;Bachelor's pass;40;;;;;Commerce;Midrand;"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
46;Bachelor of Commerce;Bachelor;7;Bachelor's pass;40;30;50;30;;Commerce;"Bedfordview; Bloemfontein; Durban (Umhlanga); East London; Mbombela; Mowbray (Cape Town); Nelson Mandela Bay; Pretoria; Tygervalley (Cape Town); Vaal";"Campus Full-Time; Online Full-Time; Online Part-Time; Distance Full-Time; Distance Part-Time";25 Eduvos points required. All three Maths types accepted at the indicated minimum percentages.;
47;Bachelor of Commerce in Accounting;Bachelor;7;Bachelor's pass;40;50;Not accepted;Not accepted;;Commerce;"Bedfordview; Mbombela; Midrand; Mowbray (Cape Town); Pretoria; Tygervalley (Cape Town); Vaal";"Campus Full-Time; Online Part-Time; Distance Full-Time; Distance Part-Time";25 Eduvos points required. Pure Mathematics only — Maths Literacy and Technical Maths not accepted. Students with Maths 45%-49% may enrol with bridging modules before Year 2.;
48;Bachelor of Commerce in Human Resource Management;Bachelor;7;Bachelor's pass;40;;;;;Commerce;"Midrand; Mowbray (Cape Town); Pretoria; Tygervalley (Cape Town)";"Campus Full-Time; Online Part-Time";25 Eduvos points required. No specific Maths type required.;
49;Bachelor of Commerce in Law;Bachelor;7;Bachelor's pass;40;30;50;30;;Law;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time; Distance Full-Time; Distance Part-Time";25 Eduvos points required. All three Maths types accepted.;
50;Bachelor of Commerce in Marketing Management;Bachelor;7;Bachelor's pass;40;30;50;30;;Commerce;Midrand;"Campus Full-Time; Online Part-Time";25 Eduvos points required. All three Maths types accepted.;
51;Bachelor of Commerce in Tourism Management;Bachelor;7;Bachelor's pass;40;30;50;30;;Commerce;"Mbombela; Midrand; Mowbray (Cape Town); Nelson Mandela Bay; Tygervalley (Cape Town)";"Campus Full-Time; Online Part-Time";25 Eduvos points required. All three Maths types accepted.;
52;Bachelor of Science in Biomedicine;Bachelor;7;Bachelor's pass;50;50;Not accepted;Not accepted;"Life Sciences 50%; Physical Science 50%";Applied Science;"Midrand; Pretoria";Campus Full-Time;32 Eduvos points required. Pure Mathematics only — Maths Literacy and Technical Maths not accepted. Best two science/maths subjects doubled in points calculation.;
53;Bachelor of Science in Biotechnology Management;Bachelor;7;Bachelor's pass;50;50;Not accepted;Not accepted;"Life Sciences 50%; Physical Science 50%";Applied Science;"Midrand; Pretoria";Campus Full-Time;32 Eduvos points required. Pure Mathematics only — Maths Literacy and Technical Maths not accepted. Best two science/maths subjects doubled in points calculation.;
54;Bachelor of Science in Computer Science;Bachelor;7;Bachelor's pass;50;50;Not accepted;Not accepted;;Information Technology;Midrand;"Campus Full-Time; Online Part-Time";32 Eduvos points required. Pure Mathematics only. Best two of (English/Mathematics/Computer Studies/IT) doubled. Students with Maths 40-49% must complete bridging module first.;
55;Bachelor of Science in Information Technology (Data Science);Bachelor;7;Bachelor's pass;40;50;Not accepted;Not accepted;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time";Pure Mathematics required. Maths Literacy and Technical Maths not accepted. Students with Maths 30-49% must complete bridging module before Mathematics 1A.;
56;Bachelor of Science in Information Technology (Robotics);Bachelor;7;Bachelor's pass;40;50;Not accepted;Not accepted;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time";Pure Mathematics required. Maths Literacy and Technical Maths not accepted. Students with Maths 30-49% must complete bridging module before Mathematics 1A.;
57;Bachelor of Science in Information Technology (Security and Network Engineering);Bachelor;7;Bachelor's pass;40;50;Not accepted;Not accepted;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time";Pure Mathematics required. Maths Literacy and Technical Maths not accepted. Students with Maths 30-49% must complete bridging module before Mathematics 1A.;
58;Bachelor of Science in Information Technology (Software Engineering);Bachelor;7;Bachelor's pass;40;50;Not accepted;Not accepted;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time";Pure Mathematics required. Maths Literacy and Technical Maths not accepted. Students with Maths 30-49% must complete bridging module before Mathematics 1A.;
59;Bachelor of Laws;Bachelor;7;Bachelor's pass;40;30;50;30;;Law;All Campuses (Online/Distance only);"Online Full-Time; Online Part-Time";25 Eduvos points required. All three Maths types accepted. Offered online/distance only.;
