row_id;Programme Name;Qualification Type;NQF Level;NSC Pass Type Required;Min_English_%;Min_Mathematics_%;Min_MathsLiteracy_%;Min_TechnicalMaths_%;Other_Required_Subjects;Faculty;Campuses;Study Modes;Notes
11;IIE Diploma in Commerce in Business Management;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. 3-year Diploma. Articulates into BCom and BBA degrees.
12;IIE Diploma in Digital Marketing;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. 3-year Diploma. Covers digital marketing, social media, content and analytics.
13;IIE Diploma in Human Resource Management Practice;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. 3-year Diploma. Articulates into BCom and BBA degrees.
14;IIE Diploma in Logistics and Supply Chain Management;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. 3-year Diploma. Articulates into BBA in Logistics & Supply Chain Management.
15;IIE Diploma in IT in Software Development;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Information and Communications Technology;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. 3-year Diploma. Articulates into Bachelor of Computer and Information Sciences in Application Development.
16;IIE Diploma in IT in Network Management;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Information and Communications Technology;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. 3-year Diploma. Articulates into Bachelor of Computer and Information Sciences in Network Management.
17;IIE Diploma in Information Technology Management;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Information and Communications Technology;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. 3-year Diploma covering IT management and systems.
18;IIE Diploma in Journalism Studies;Diploma;6;Diploma pass OR Higher Certificate pass;30;;;;;Faculty of Humanities and Social Science;"Braamfontein (JHB); Cape Town; Durban; Pretoria";Contact Full-Time;No specific Maths requirement. 3-year Diploma. Not available at all campuses.
19;IIE Bachelor of Arts;Bachelor;7;Bachelor's pass;30;;;;50% for any 4 designated NSC subjects;Faculty of Humanities and Social Science;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths type required. RPL and mature age exemption available.
20;IIE Bachelor of Social Science;Bachelor;7;Bachelor's pass;30;;;;50% for any 4 designated NSC subjects;Faculty of Humanities and Social Science;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths type required. RPL and mature age exemption available.
21;IIE Bachelor of Commerce;Bachelor;7;Bachelor's pass;50;30;50;50;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";All three Maths types accepted. Alternate admission if English 40-49% with Grade 11 results of 50%+.
22;IIE Bachelor of Business Administration;Bachelor;7;Bachelor's pass;50;30;50;50;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";All three Maths types accepted. General business management focus.
23;IIE Bachelor of Business Administration in Logistics and Supply Chain Management;Bachelor;7;Bachelor's pass;50;30;50;50;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";All three Maths types accepted. Logistics and supply chain specialisation.
24;IIE Bachelor of Public Administration;Bachelor;7;Bachelor's pass;30;;;;50% for any 4 designated NSC subjects;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths type required. Public sector and government administration focus.
25;IIE Bachelor of Accounting;Bachelor;7;Bachelor's pass;50;50;Not accepted;Not accepted;;Faculty of Finance and Accounting;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";Pure Mathematics only at 50%. Maths Literacy and Technical Maths not accepted. Pathway towards CA(SA) via postgraduate study.
26;IIE Bachelor of Arts in Law;Bachelor;7;Bachelor's pass;50;30;50;50;;Faculty of Law;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";All three Maths types accepted. 3-year undergraduate law degree. Not a professional LLB qualification.
27;IIE Bachelor of Commerce in Law;Bachelor;7;Bachelor's pass;50;30;50;50;;Faculty of Law;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";All three Maths types accepted. Combines commerce and law. 3-year degree. Not a professional legal qualification.
28;IIE Bachelor of Laws (LLB);Bachelor of Laws;8;Bachelor's pass;50;30;50;50;;Faculty of Law;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";NQF Level 8. All three Maths types accepted. Professional legal qualification. 4-year degree required to practise as attorney or advocate.
29;IIE Bachelor of Education in Foundation Phase Teaching;Bachelor;7;Bachelor's pass;50;;;;First Additional Language 40%;Faculty of Education;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";4-year degree. No specific Maths type required beyond NSC pass. Language proficiency test required if FAL requirement not met on NSC.
30;IIE Bachelor of Education in Intermediate Phase Teaching;Bachelor;7;Bachelor's pass;50;;;;First Additional Language 40%;Faculty of Education;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";4-year degree. No specific Maths type required beyond NSC pass. Language proficiency test required if FAL requirement not met on NSC.
31;IIE Bachelor of Computer and Information Sciences in Application Development;Bachelor;7;Bachelor's pass;30;;;;50% for any 4 designated NSC subjects;Faculty of Information and Communications Technology;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths type required for entry. Software development and application engineering focus.
32;IIE Bachelor of Computer and Information Sciences in Network Management;Bachelor;7;Bachelor's pass;30;;;;50% for any 4 designated NSC subjects;Faculty of Information and Communications Technology;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths type required for entry. Network infrastructure and IT management focus.
