Faculty/College;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection/Access_Extended;Special_Notes;Source
Faculty of Human Sciences;Diploma in Tourism Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One subject from: Tourism, Geography, Business Studies or History at Level 4 (50%+) - compulsory;No;MathLit accepted at L4. APS 21 with MathLit. Shares requirements with Diploma in Public Relations Management. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Ecotourism Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;Level 4 (50%+) Biology/Life Sciences - compulsory;;;No;MathLit accepted at L4. APS 21 with MathLit. Life Sciences/Biology compulsory at L4 (distinguishes from Tourism Management). Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Labour Law;;;6;Diploma;3;Vanderbijlpark;23;Level 5 (60%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;Other Language Level 3 (40%+) compulsory;No;English at higher level L5 (60%+) vs most other Human Sciences programmes (L4). APS 24 with MathLit. A second language compulsory at L3. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Legal Assistance;;;6;Diploma;3;Vanderbijlpark;23;Level 5 (60%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;Other Language Level 3 (40%+) compulsory;No;English at L5 (60%+). APS 24 with MathLit. Second language compulsory at L3. Shares requirements with Diploma in Labour Law. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Safety Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;Other Language Level 3 (40%+) compulsory;No;MathLit accepted at L4. APS 21 with MathLit. A second language compulsory at L3. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Policing;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;;Selection - Interview and Portfolio;Additional compulsory selection: practical interview AND portfolio submission required. Mature age exemption: applicants aged 23+ with Grade 12 not meeting entry requirements must provide proof of relevant work experience. Subject requirements not fully detailed in prospectus - contact department.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Mediation;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;Other Language Level 4 (50%+) compulsory;No;MathLit accepted at L4. APS 21 with MathLit. Second language compulsory at L4 (higher than Safety Management at L3). Matric must indicate admission to Diploma. Enquiries: Jabulani Malika 016-950-7598.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Bachelor of Education: Senior Phase and FET Teaching;;;7;Bachelor's Degree;4;Vanderbijlpark;22;Level 4 (50%+) Language of Teaching and Learning;Level 4 (50%+) Maths OR Technical Mathematics;Yes - Level 6 (70%+) MathLit;;Level 3 (40%+) Physical Sciences OR Technical Science - compulsory;;Selection;MathLit accepted at high level L6 (70%+). APS 24 with MathLit. Physical Sciences/Technical Science compulsory at L3. 4-year BEd degree. Matric must indicate admission to Bachelor's Degree.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Bachelor of Communication Studies;;;7;Bachelor's Degree;3;Vanderbijlpark;20;Level 5 (60%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;Additional Language Level 4 (50%+) compulsory;No;English at high level L5 (60%+). MathLit accepted at L4. APS 21 with MathLit. Additional Language compulsory at L4. Matric must indicate admission to Bachelor's Degree.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Chemical Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year programme available (APS 22 with L3 requirements). NCV Level 4 also accepted (see TABLE 4 on prospectus).;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Civil Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Sylvia Kgeni 016-950-9959.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Industrial Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Puleng Masibihlele 016-950-9109.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Mechanical Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Salaminah Mokodutlo 016-950-9476.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Metallurgical Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Puleng Masibihlele 016-950-9109.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Electronic Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Gwen Mokaba gwen@vut.ac.za 016-950-6888.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Power Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Gwen Mokaba gwen@vut.ac.za 016-950-6888.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Process Control Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Gwen Mokaba gwen@vut.ac.za 016-950-6888.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Computer Systems Engineering;;;6;Diploma;3;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English all compulsory at L4. 3-year mainstream programme. Extended 4-year available (APS 22). Enquiries: Gwen Mokaba gwen@vut.ac.za 016-950-6888.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Operations Management;;;6;Diploma;3;Vanderbijlpark;23;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;No;MathLit not accepted. Physical Sciences at lower level (L3) than Engineering Diplomas (L4). Maths and English at L4. APS 23 vs APS 24 for other Engineering programmes. 3-year programme.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Chemical Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3 vs L4 for mainstream. APS 22 vs 24 mainstream. 4-year extended/foundation programme for students who do not meet mainstream requirements. Leads to same NQF6 Diploma qualification.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Civil Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Civil Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Industrial Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Industrial Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Mechanical Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Mechanical Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Metallurgical Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Metallurgical Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Electronic Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Electronic Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Power Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Power Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Process Control Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Process Control Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Engineering and Technology;Diploma in Computer Systems Engineering (Extended Programme);;;6;Diploma;4;Vanderbijlpark;22;Level 3 (40%+);Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;All compulsory subjects at L3. APS 22. 4-year extended programme. Leads to same NQF6 Computer Systems Engineering Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
