Faculty/College;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection/Access_Extended;Special_Notes;Source
Faculty of Engineering;Engineering Bridging Programme: Mechanical Engineering;MN-M-MEB;;5;Higher Certificate / Bridging;0.5;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 3 (40%+) English FAL;Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;6-month bridging programme. Subjects at L3. Prepares students for Mechanical Engineering Diploma.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Engineering Bridging Programme: Building;MN-M-BUB;;5;Higher Certificate / Bridging;0.5;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 3 (40%+) English FAL;Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;6-month bridging programme. Subjects at L3. Prepares students for Building Diploma (Construction Management and QS).;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Engineering Bridging Programme: Surveying;MN-M-SVB;;5;Higher Certificate / Bridging;0.5;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 3 (40%+) English FAL;Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;6-month bridging programme. Subjects at L3. Prepares students for Surveying Diploma.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Management Sciences;Diploma in Accounting;MN-M-AC3;;6;Diploma;3 or 4;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 5 (60%+) English FAL;Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 6 (70%+) MathLit;;;Accounting Level 4 (50%+) compulsory;No;MathLit accepted but at high level L6. English FAL at higher level (L5) than HL (L4). Accounting compulsory at L4. Can be completed as 3-year or 4-year programme. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Management Sciences;Diploma in Finance and Accounting: Public;MN-M-PF3;;6;Diploma;4;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 5 (60%+) English FAL;Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 6 (70%+) MathLit;;;Accounting Level 4 (50%+) compulsory;No;Same entry requirements as Diploma in Accounting. 4-year programme only. Focuses on public sector finance and accounting. MathLit accepted at L6. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Management Sciences;Diploma in Human Resource Management;MN-M-HR3;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 3 (40%+) English HL OR Level 4 (50%+) English FAL;Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;Accounting level not specified in source table for this programme;No;MathLit accepted at L4. Lower English requirements than Accounting/Marketing: HL L3 or FAL L4. Maths at L3. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Management Sciences;Diploma in Marketing;MN-M-MM3;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 5 (60%+) English FAL;Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;Accounting Level 3 (40%+) compulsory (lower threshold than Accounting diploma);No;MathLit accepted at L4. Accounting required at L3 (lower than Accounting diploma's L4). English FAL at L5. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Management Sciences;Diploma in Office Management and Technology;MN-M-OT3;;6;Diploma;3;Umlazi (Main Campus);25;Level 3 (40%+) English HL OR Level 4 (50%+) English FAL;Not specified as minimum subject requirement;Not specified;;;"Any other 5 accredited subjects contributing to minimum APS of 25; a pass in Typing or Computer Studies is an added advantage";No;APS 25 is the primary requirement (from best 6 including English). Lowest English requirement in Management Sciences. Typing or Computer Studies advantageous. Only Management Sciences programme with a stated composite APS minimum. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Management Sciences;Diploma in Public Management;MN-M-PU3;;6;Diploma;3;Umlazi (Main Campus);25;Level 4 (50%+) English HL OR FAL;Not specified as minimum subject requirement;Not specified;;;Any other 5 accredited subjects contributing to minimum APS of 25;No;APS 25 from best 6 subjects including English. No specific Maths or Accounting level stated. English HL or FAL both at L4 (unlike other programmes where FAL requires higher level). Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;BSc in Environmental Health;MN-M-BE4;;7;Bachelor's Degree;4;Umlazi (Natural Sciences Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR FAL;Level 4 (50%+) Maths;Yes - Level 5 (60%+) MathLit;Level 4 (50%+) Life Sciences (alternative to Physical Sciences);Level 4 (50%+) Physical Sciences (alternative to Life Sciences);Geography Level 5 (60%+) and Agricultural Science Level 5 (60%+) recommended (not compulsory);Selection;Bachelor pass required (not just Diploma pass). MathLit accepted at L5 (higher threshold than Maths L4). Physical Sciences OR Life Sciences at L4 - either accepted. Geography and Agricultural Science at L5 strongly recommended. HPCSA registered qualification. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;Bachelor of Health Science in Medical Laboratory Sciences;MN-M-BLS;;8;Bachelor's Degree;4;Umlazi (Natural Sciences Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL;Level 4 (50%+) Maths - PURE Maths only;Not accepted;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;;Selection;Bachelor pass required. MathLit not accepted (only Maths listed). English Home Language specifically required (not FAL). Life Sciences AND Physical Sciences both compulsory at L4. 4-year programme with clinical practice in accredited lab for last 18 months. Year 4 specialisation options include: Haematology, Microbiology, Immunology, Virology, etc.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;Diploma in Agriculture;MN-M-AG3;;6;Diploma;3;Umlazi (Natural Sciences Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 4 (50%+) English FAL;Level 3 (40%+) Maths;Yes - Level 4 (50%+) MathLit;Level 4 (50%+) Life Sciences (alternative to Agricultural Science);Level 3 (40%+) Physical Sciences - compulsory;Agricultural Science Level 4 (50%+) compulsory (alternative to Life Sciences);No;MathLit accepted at L4. Agricultural Science OR Life Sciences at L4 - either accepted as a compulsory science. Physical Sciences at L3 (lower threshold). Maths at L3. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;Diploma in Biomedical Science;MN-M-BD3;;6;Diploma;3;Umlazi (Natural Sciences Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 4 (50%+) English FAL;Level 4 (50%+) Maths - PURE Maths only;Not accepted;Level 4 (50%+) Life Sciences (alternative to Physical Sciences);Level 4 (50%+) Physical Sciences (alternative to Life Sciences);;Selection - compulsory entrance test;MathLit not accepted. Life Sciences OR Physical Sciences at L4 - either accepted. Compulsory entrance test for all applicants. Qualifies graduates for pathology labs, food/medical industry or pharmaceutical sales. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;Diploma in Analytical Chemistry;MN-M-AN3;;6;Diploma;3;Umlazi (Natural Sciences Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 4 (50%+) English FAL;Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths and Physical Sciences both at L4. Prepares graduates for analytical and quality control laboratories. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;Diploma in Community Extension;MN-M-CX3;;6;Diploma;3;Umlazi (Natural Sciences Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL;Not specified;Not specified;;;One of the following at Level 4 (50%+) compulsory: Agricultural Science, Consumer Studies, Life Sciences, Geography or Economics;No;English Home Language specifically required at L4 (FAL not listed for this programme). No Maths or Science level specified. One relevant social/agricultural subject at L4 required. Trains students to improve standard of living in rural communities. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;Diploma in Nature Conservation;MN-M-NC3;;6;Diploma;3;Umlazi (Natural Sciences Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English First Additional Language;Level 3 (40%+) Maths;Not specified;Level 4 (50%+) Life Sciences (alternative to Agricultural Science);;Agricultural Science Level 4 (50%+) compulsory (alternative to Life Sciences);No;English FAL specified (not HL). Maths at low L3. Agricultural Science or Life Sciences at L4 compulsory. Only FAL listed for English - verify with department if HL is also acceptable. Departmental screening applies.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Natural Sciences;Diploma in Information Technology;MN-M-IT3;;6;Diploma;3 or 4;Umlazi (Natural Sciences Campus);23;Level 3 (40%+) English HL OR Level 3 (40%+) English FAL;Level 3 (40%+) Maths;Yes - Level 4 (50%+) MathLit;;;Minimum APS 23 from best 6 subjects including Maths/MathLit and English;Selection - compulsory entrance test;APS 23 (from best 6 incl. Maths/MathLit and English) is the stated minimum. MathLit accepted at L4. Very low English requirement (L3 HL or FAL). Selected candidates called for compulsory entrance test. 3-year mainstream or 4-year Access programme available. Specialisations: Software Development or Communication Networks.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
