Faculty/College;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection/Access_Extended;Special_Notes;Source
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Electrical Engineering Technology;;;7;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%+);Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;"MathLit not accepted. Maths; Physical Sciences and English compulsory at L4. APS 32. Masters and Doctorate available.";https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Diploma in Mechanical Engineering Technology;;;6;Diploma;2;Bloemfontein;27;Level 3 (40%+);Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;MathLit not accepted. English at lower level (L3) than most Engineering programmes. Maths and Physical Sciences at L4. APS 27. Bachelor's pathway available.;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Mechanical Engineering Technology;;;7;Bachelor's Degree;3;Bloemfontein;32;Level 3 (40%+);Level 5 (60%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;"MathLit not accepted. Maths required at high L5 (60%+) for Bachelor vs L4 for Diploma. English remains L3. Physical Sciences at L4. Honours; Masters; Doctorate pathways available.";https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Higher Certificate in Mathematics for Engineering Technology;;;5;Higher Certificate;1;Bloemfontein;27;Level 3 (40%+);Level 2 (30%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;Bridging/foundation programme. Maths accepted at low L2 (30%+). Physical Sciences compulsory at L4. English at L3. Prepares students for Engineering programmes. 1 year.;https://www.cut.ac.za/programmes-offered
Faculty of Health and Environmental Sciences;Higher Certificate in Dental Assisting;;;5;Higher Certificate;1;Bloemfontein;27;Level 4 (50%+);Not required;Not applicable;Level 4 (50%+) Life Sciences - compulsory;;Life Orientation Level 4 (50%+) compulsory;No;No Maths requirement. Life Sciences and LO compulsory at L4. English at L4. 1-year programme.;https://www.cut.ac.za/programmes-offered
Faculty of Health and Environmental Sciences;Diploma in Agricultural Management;;;6;Diploma;2;Bloemfontein / Welkom;27;Level 4 (50%+);Level 4 (50%+);Yes - Level 4 (50%+) MathLit;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;"LO; Language; Accounting; Agricultural Sciences all at L4 contribute to APS";No;MathLit accepted at L4. Wide subject base at L4. Agricultural Sciences especially relevant. Advanced Diploma and Masters available.;https://www.cut.ac.za/programmes-offered
Faculty of Health and Environmental Sciences;Diploma in Somatology;;;6;Diploma;2;Bloemfontein;27;Level 4 (50%+);Not required;Not applicable;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;No Maths requirement. Life Sciences and Physical Sciences both compulsory at L4. English at L4. Advanced Diploma in Therapeutic Services available.;https://www.cut.ac.za/programmes-offered
Faculty of Health and Environmental Sciences;Bachelor of Health Sciences in Clinical Technology;;;8;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%+);Level 4 (50%+);Not accepted;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;Life Orientation Level 4 (50%+) compulsory;Selection;"MathLit not accepted. Maths; Physical Sciences; Life Sciences; English and LO all compulsory at L4. APS 30. 4-year professional degree.";https://www.cut.ac.za/programmes-offered
Faculty of Health and Environmental Sciences;Bachelor of Health Sciences in Medical Laboratory Sciences;;;8;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%+);Level 4 (50%+);Not accepted;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;Life Orientation Level 4 (50%+) compulsory;Selection;MathLit not accepted. All science subjects compulsory at L4. LO at L4. APS 30. 4-year degree. Masters and Doctorate in Biomedical Technology available.;https://www.cut.ac.za/programmes-offered
Faculty of Health and Environmental Sciences;Bachelor of Environmental Health;;;8;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%+);Level 4 (50%+);Not accepted;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;Life Orientation Level 4 (50%+) compulsory;Selection;"MathLit not accepted. Same requirements as other health sciences degrees (APS 30; all sciences at L4). 4-year professional degree.";https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Diploma in Design and Studio Art;;;6;Diploma;2;Bloemfontein;27;Level 4 (50%+);Not required;Not applicable;;;Life Orientation Level 4 (50%+) compulsory;Selection - portfolio likely required;No Maths or Science requirement. English and LO at L4. Portfolio or practical assessment likely required. Advanced Diploma in Design Technology and Studio Art available.;https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Diploma in Language Practice and Media Studies;;;6;Diploma;2;Bloemfontein;27;Level 5 (60%+);Not required;Not applicable;;;"Life Orientation Level 4 (50%+) compulsory; A second Language (not English) at Level 5 (60%+) compulsory";No;High English requirement (L5). A second language at L5 also compulsory. No Maths or Science. Advanced Diploma and Masters available.;https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Bachelor of Education: Foundation Phase Teaching;;;7;Bachelor's Degree;3;Bloemfontein / Welkom;27;Level 4 (50%+);Not required;Not applicable;;;A second Language (not English) at Level 4 (50%+) compulsory;Selection;No Maths or Science requirement. English and a second language both at L4. Foundation Phase = Grades R-3. PGCE available postgraduate.;https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Bachelor of Education (SP & FET): Computer Science;;;7;Bachelor's Degree;3;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Yes - Level 4 (50%+) MathLit;;;"Life Orientation Level 4 (50%+) compulsory; Accounting Level 6 (70%+) compulsory";Selection;MathLit accepted. Accounting compulsory at high level L6 (70%+). SP and FET teacher training Grades 7-12. Computer Science specialisation.;https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Bachelor of Education (SP & FET): Economic and Management Sciences;;;7;Bachelor's Degree;3;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Yes - Level 4 (50%+) MathLit;;;"Life Orientation Level 4 (50%+) compulsory; Accounting Level 6 (70%+) compulsory";Selection;MathLit accepted. Accounting compulsory at L6 (70%+). SP and FET teacher training for Economics and Business subjects (Grades 7-12).;https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Bachelor of Education (SP & FET): Language Education;;;7;Bachelor's Degree;3;Bloemfontein;27;Level 4 (50%+);Not required;Not applicable;;;"Life Orientation Level 4 (50%+) compulsory; A second Language (not English) at Level 4 (50%+) compulsory";Selection;"No Maths requirement. English; LO and a second language all at L4. SP and FET Language teacher (Grades 7-12).";https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Bachelor of Education (SP & FET): Mathematics;;;7;Bachelor's Degree;3;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No LO specified for this programme;Selection;MathLit not accepted for Maths teaching specialisation. Maths and Physical Sciences both compulsory at L4. SP and FET Mathematics teacher (Grades 7-12).;https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Bachelor of Education (SP & FET): Natural Sciences;;;7;Bachelor's Degree;3;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;Life Orientation Level 4 (50%+) compulsory;Selection;"MathLit not accepted. Maths; Physical Sciences; English and LO at L4. SP and FET Natural Sciences teacher (Grades 7-12).";https://www.cut.ac.za/programmes-offered
Faculty of Humanities;Bachelor of Education (SP & FET): Technology;;;7;Bachelor's Degree;3;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Yes - Level 4 (50%+) MathLit;;;Life Orientation Level 4 (50%+) compulsory;Selection;MathLit accepted at L4. Maths/MathLit and LO at L4. No Physical Sciences required. SP and FET Technology teacher (Grades 7-12).;https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Higher Certificate in Community Development Work;;;5;Higher Certificate;1;Bloemfontein / Welkom;27;Level 4 (50%+);Not required;Not applicable;;;No other compulsory subjects specified;No;Minimal requirements. English at L4 only specification. No Maths or Science required. 1-year certificate. Entry into community development sector.;https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Diploma in Human Resources Management;;;6;Diploma;2;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Not accepted;;;Life Orientation Level 4 (50%+) compulsory;No;"MathLit not accepted. Maths and LO at L4; English at L4. APS 27. Advanced Diploma and PGDip in HRM available.";https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Diploma in Management;;;6;Diploma;2;Bloemfontein;30;Level 4 (50%+);Not required;Not applicable;;;No other compulsory subjects specified;No;Higher APS (30) vs other Management Sciences diplomas (27). Only English at L4 specified. No Maths level stated. Advanced Diploma in Applied Management available.;https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Diploma in Marketing;;;6;Diploma;2;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Not accepted;;;Life Orientation Level 4 (50%+) compulsory;No;"MathLit not accepted. Maths and LO at L4; English at L4. APS 27. Advanced Diploma and PGDip in Marketing available.";https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Diploma in Office Management and Technology;;;6;Diploma;2;Bloemfontein;27;Not specified in source table;Level 4 (50%+);Not accepted;;;Life Orientation Level 4 (50%+) compulsory;No;Maths and LO compulsory at L4. English level not specified in source table - verify with department. MathLit not accepted. APS 27.;https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Diploma in Public Management;;;6;Diploma;2;Bloemfontein / Welkom;27;Level 4 (50%+);Not required;Not applicable;;;No other compulsory subjects specified;No;Only English at L4 specified. No Maths requirement stated. APS 27. Advanced Diploma and PGDip in Public Management available.;https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Diploma in Hospitality Management;;;6;Diploma;2;Bloemfontein;27;Not specified in source table;Level 4 (50%+);Not accepted;;;Life Orientation Level 4 (50%+) compulsory;No;Maths and LO compulsory at L4. English level not specified in source table - verify with department. MathLit not accepted. APS 27. Advanced Diploma and PGDip available.;https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Bachelor of Management Sciences in Accountancy;;;8;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%+);Level 3 (40%+);Yes - Level 4 (50%+) MathLit;;;Accounting Level 5 (60%+) compulsory;No;"MathLit accepted at L4. Accounting compulsory at high level L5 (60%+). Maths at L3; English at L4. APS 30. 4-year degree. Leads to professional accounting qualifications.";https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Bachelor of Management Sciences in Internal Auditing;;;8;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%+);Level 3 (40%+);Yes - Level 5 (60%+) MathLit;;;Accounting Level 6 (70%+) compulsory;No;"MathLit accepted but at high level L5 (60%+). Accounting compulsory at very high level L6 (70%+). Maths at L3; English at L4. APS 30. 4-year degree. IIA qualification pathway.";https://www.cut.ac.za/programmes-offered
Faculty of Management Sciences;Diploma in Tourism Management;;;6;Diploma;2;Bloemfontein;28;Not specified in source table;Level 4 (50%+);Not accepted;;;No other subjects specified;No;Maths compulsory at L4. English level not specified in source table - verify with department. MathLit not accepted. APS 28. Advanced Diploma and PGDip in Tourism Management available.;https://www.cut.ac.za/programmes-offered
